Area,Year,Month,Time,Crime Type,Latitude,Longitude,Cluster
CANARA BANK COLONY,2017.0,9.0,,ROBBERY,12.9699,77.5268,0
CANARA BANK COLONY,2024.0,2.0,,CASES OF HURT,12.9536,77.5225,0
CANARA BANK COLONY,2021.0,4.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9468,77.5258,0
CANARA BANK COLONY,2017.0,12.0,,THEFT,12.9707,77.5204,0
CENTRAL EXCISE LAYOUT,2021.0,10.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.045,77.5771,-1
CENTRAL EXCISE LAYOUT,2022.0,7.0,,CHEATING,13.0413,77.5786,-1
CENTRAL EXCISE LAYOUT,2018.0,7.0,,BURGLARY - NIGHT,13.0436,77.5783,-1
CENTRAL EXCISE LAYOUT,2019.0,8.0,,CASES OF HURT,13.0388,77.5759,-1
CHAKRAVARTHI LAYOUT,2020.0,6.0,,BURGLARY - NIGHT,12.9895,77.587,-1
CHAMARAJAPETE,2023.0,6.0,,COPY RIGHT ACT 1957,12.961,77.571,-1
CHAMUNDI NAGAR,2018.0,10.0,,THEFT,13.027,77.5939,-1
CHANDRALAYOUT,2018.0,9.0,,CASES OF HURT,12.9524,77.5266,-1
CHANDRAPPA NAGARA,2020.0,3.0,,CASES OF HURT,12.9394,77.602,-1
CHANDRAPPA NAGARA,2023.0,11.0,,PUBLIC SAFETY,12.943,77.5974,-1
CHANDRAPPA NAGARA,2023.0,11.0,,PUBLIC SAFETY,12.943,77.5974,-1
CHANNASANDRA,2020.0,9.0,,MISSING PERSON,12.9807,77.762,-1
CHANNASANDRA,2016.0,4.0,,CrPC,12.9157,77.4961,-1
CHENNAHALLI,2020.0,6.0,,MISSING PERSON,13.186,77.7591,-1
CHICKPET MAIN ROAD,2018.0,10.0,,KIDNAPPING AND ABDUCTION,12.9687,77.5767,-1
CHICKPET MAIN ROAD,2024.0,2.0,,MISSING PERSON,12.9711,77.5752,-1
CHIKKABANAVARA,2017.0,1.0,,CASES OF HURT,13.0663,77.5118,-1
CHIKKABANAVARA,2019.0,10.0,,IMMORAL TRAFFIC,13.0689,77.506,-1
CHIKKABANAVARA,2017.0,3.0,,MISSING PERSON,13.0884,77.5048,-1
CHIKKABIDARAKALLU,2022.0,6.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0565,77.4742,0
CHIKKABIDARAKALLU,2019.0,5.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0601,77.4634,0
CHIKKABIDARAKALLU,2021.0,5.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0567,77.4742,0
CHIKKABIDARAKALLU,2020.0,7.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0722,77.4424,0
CHIKKABIDARAKALLU,2022.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0611,77.461,0
CHIKKABIDARAKALLU,2020.0,1.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0575,77.4718,0
CHIKKABIDIRAKALLU,2022.0,6.0,,CASES OF HURT,13.0628,77.4726,0
CHIKKABIDIRAKALLU,2022.0,12.0,,THEFT,13.0539,77.4837,0
CHIKKABIDIRAKALLU,2019.0,7.0,,THEFT,13.0743,77.4833,0
CHIKKABIDIRAKALLU,2019.0,9.0,,CYBER CRIME,13.0554,77.4916,0
CHIKKABIDIRAKALLU,2023.0,5.0,,KIDNAPPING AND ABDUCTION,13.0497,77.4669,0
CHIKKABOMMASANDRA,2024.0,2.0,,IMMORAL TRAFFIC,13.0954,77.5834,-1
CHIKKALLASANDRA,2022.0,5.0,,ROBBERY,12.9153,77.5553,-1
CHIKKANAGAMANGALA,2023.0,10.0,,BURGLARY - NIGHT,12.8851,77.6693,-1
CHIKKANNA GARDEN,2016.0,6.0,,MISSING PERSON,12.955,77.5702,-1
CHINNAPPANAHALLI,2024.0,1.0,,CYBER CRIME,12.9968,77.693,-1
CHOKKANAHALLI VILLAGE,2017.0,10.0,,MISSING PERSON,13.1311,77.6956,-1
CHOKKANAHALLI VILLAGE,2023.0,6.0,,THEFT,13.1194,77.7159,-1
CHRISTIAN CEMENTRY BOTH SIDE,2023.0,8.0,,THEFT,12.9602,77.602,-1
CHUNCHGHTTA,2023.0,6.0,,KIDNAPPING AND ABDUCTION,12.9117,77.5412,-1
CITY MARKET TRAFFIC,2016.0,3.0,,PUBLIC SAFETY,12.9641,77.5812,-1
CITY MARKET TRAFFIC,2024.0,3.0,,PUBLIC SAFETY,12.9597,77.5832,-1
COOLIPURA,2023.0,8.0,,CYBER CRIME,13.1583,77.4167,-1
CUBBONPET,2016.0,5.0,,CASES OF HURT,12.9704,77.5246,-1
CUBBONPET,2021.0,3.0,,CHEATING,12.9667,77.5873,-1
CUBBONPET,2022.0,5.0,,THEFT,12.9682,77.5851,-1
Cembridge Road,2021.0,4.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9718,77.636,-1
Central division Limit,2023.0,11.0,,CYBER CRIME,12.9668,77.5872,-1
Central division Limit,2024.0,3.0,,CYBER CRIME,12.9668,77.5872,-1
Central division Limit,2023.0,10.0,,CYBER CRIME,12.9667,77.5872,-1
Chamarajpet second crs to froth crs,2021.0,6.0,,THEFT,12.9604,77.5673,-1
Chamundeshwari layout,2018.0,3.0,,CrPC,13.0686,77.5624,-1
Chamundipura,2023.0,8.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",13.0003,77.4993,-1
Chamundipura,2023.0,10.0,,THEFT,13.0003,77.5018,-1
Chamundipura,2023.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0011,77.5018,-1
Chandrappa Road,2018.0,4.0,,MISSING PERSON,12.9942,77.5272,-1
Channnahalli,2021.0,2.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1843,77.6538,-1
Chikkajala,2024.0,1.0,,CHEATING,13.1825,77.5897,-1
Chokkasandra,2018.0,3.0,,KARNATAKA POLICE ACT 1963,13.0397,77.503,-1
Chokkasandra,2023.0,6.0,,MOLESTATION,13.0276,77.5068,-1
Chokkasandra,2021.0,7.0,,KARNATAKA POLICE ACT 1963,13.0311,77.5065,-1
Cholurpalya,2022.0,10.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9748,77.5485,-1
Cholurpalya,2022.0,8.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9755,77.5535,-1
Cholurpalya,2018.0,6.0,,INSULTING MODESTY OF WOMEN (EVE TEASING),12.9696,77.5522,-1
Cholurpalya,2019.0,2.0,,THEFT,12.9696,77.5522,-1
Church Street and Sriramanagari,2019.0,4.0,,CRUELTY BY HUSBAND,12.9683,77.6503,-1
Church Street and Sriramanagari,2017.0,4.0,,CHEATING,12.9705,77.6559,-1
Cottonpet,2018.0,8.0,,NEGLIGENT ACT,12.9636,77.5679,-1
Cottonpet,2017.0,12.0,,MOTOR VEHICLE ACCIDENTS FATAL,12.9611,77.5607,-1
Cubbon Park,2020.0,4.0,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9732,77.5952,-1
D GROUP LAY OUT,2017.0,10.0,,CHEATING,12.9751,77.4946,-1
D GROUP LAY OUT,2018.0,1.0,,DACOITY,12.9718,77.4996,-1
DABASPETE,2023.0,6.0,,MISCHIEF,12.9937,77.5933,-1
DASANAPURA,2020.0,10.0,,MISSING PERSON,13.0527,77.4214,-1
DASANAPURA,2021.0,8.0,,MISSING PERSON,13.0526,77.4221,-1
DASANAPURA,2020.0,3.0,,BURGLARY - NIGHT,13.0522,77.42,-1
DASANAPURA,2020.0,12.0,,POCSO,13.0651,77.4423,-1
DASAPPA HOSPITAL ROAD,2020.0,10.0,,FORGERY,12.9647,77.5813,-1
DASAPPA METERNITY HOSPITAL,2023.0,10.0,,PUBLIC SAFETY,12.963,77.5836,-1
DEVARABISANA HALLI,2022.0,6.0,,CASES OF HURT,12.9545,77.7027,-1
DEVARABISANA HALLI,2023.0,12.0,,MISSING PERSON,12.9276,77.6726,-1
DEVASANDRA MAIN ROAD,2018.0,7.0,,THEFT,13.0104,77.7034,-1
DEVASANDRA MAIN ROAD,2017.0,9.0,,CRIMES RELATED TO WOMEN,13.0078,77.6936,-1
DEVASANDRA MAIN ROAD,2023.0,8.0,,THEFT,13.0037,77.7077,-1
DHOBIGAT,2020.0,8.0,,THEFT,12.9511,77.5553,-1
DINNUR,2024.0,1.0,,CYBER CRIME,12.9945,77.7289,-1
DNR LAYOUT,2018.0,8.0,,CASES OF HURT,13.001,77.5789,-1
DNR LAYOUT,2024.0,2.0,,THEFT,12.9993,77.5781,-1
DODANNA LAYOUT,2023.0,10.0,,CASES OF HURT,13.0108,77.6144,-1
