Area,Year,Month,Time,Crime Type,Latitude,Longitude
J C NAGARA,2024,3,,CYBER CRIME,13.5643,71.2357
J C NAGARA,2024,1,,CRIMINAL TRESPASS,13.5657,77.1658
J C ROAD,2023,10,,THEFT,12.9617,77.5848
J J R nagar,2019,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.964,77.5537
J P NAGARA,2019,9,,MOTOR VEHICLE ACCIDENTS FATAL,12.9144,77.5758
J P Nagar,2018,,,2 wheeler theft,12.904981,77.588136
J P Nagar,2017,,,2 wheeler theft,12.88858018,77.56120326
J P Nagar,2017,,,2 wheeler theft,12.89819504,77.56937533
J P Nagar,2016,,,2 wheeler theft,12.91298108,77.55815356
J P Nagar,2019,,,2 wheeler theft,12.8765469,77.5827175
J P Nagar,2017,,,2 wheeler theft,12.88872248,77.57021868
J P Nagar,2017,,,2 wheeler theft,12.91386713,77.54283946
J P Nagar,2018,,,2 wheeler theft,12.871939,77.546442
J P Nagar,2015,,,2 wheeler theft,12.90806695,77.56114094
J.B.NAGARA,2024,1,,THEFT,12.9745,77.6488
J.M ROAD,2020,12,,CHEATING,12.9684,77.5805
J.M ROAD,2020,12,,MISSING PERSON,12.9734,77.5795
J.N.TATA AUDITORIUM,2017,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0148,77.5791
JADIGENAHALLI,2019,4,,CASES OF HURT,13.0503,77.8529
JAIMARUTHI NAGARA,2023,12,,CYBER CRIME,13.0071,77.5243
JAIMARUTHI NAGARA,2017,5,,CHEATING,77.5329,13.0088
JAIMARUTHI NAGARA,2017,9,,CASES OF HURT,13.0099,77.5331
JAIMARUTHI NAGARA,2017,12,,SCHEDULED CASTE AND THE SCHEDULED TRIBES,13.0088,77.5329
JAIMARUTHI NAGARA,2023,9,,MISSING PERSON,13.0088,77.5329
JAIMARUTHI NAGARA,2020,6,,DACOITY,13.0099,77.5331
JAKKASANDRA,2023,2,,THEFT,13.1102,77.3873
JAKKASANDRA BLOCK,2023,11,,MOLESTATION,12.929,77.6282
JARAGANAHALLI BUS STAND,2023,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8832,77.5657
JARAGANAHALLI BUS STAND,2016,6,,MOTOR VEHICLE ACCIDENTS FATAL,77.4886,12.1929
JARAGANAHALLI BUS STAND,2022,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.884,77.5508
JARAGANAHALLI BUS STAND,2016,9,,PUBLIC SAFETY,77.5539,12.4089
JASS TOLL,2021,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1306,77.3592
JASS TOLL,2021,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.165,77.3163
JASS TOLL,2020,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.113,77.3763
JASS TOLL,2023,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1362,77.3546
JASS TOLL,2020,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1652,77.3159
JASS TOLL,2019,11,,MOTOR VEHICLE ACCIDENTS FATAL,13.1476,77.3399
JAYAMAHAL,2023,12,,CRIMINAL INTIMIDATION,13.0013,77.5994
JAYANAGAR,2018,5,,THEFT,12.9299,77.5844
JAYANAGAR,2020,8,,THEFT,12.9234,77.5818
JAYANAGAR,2016,7,,THEFT,12.9307,77.5859
JAYANAGAR,2022,3,,CHEATING,12.9348,77.5876
JAYANAGAR,2018,12,,THEFT,12.922,77.5822
JAYANAGAR NINTH BLOCK,2021,5,,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),12.9206,77.5999
JAYANAGARA,2023,11,,PUBLIC SAFETY,12.917,77.5893
JAYANTHI GRAMA,2024,2,,THEFT,13.0146,77.6576
JAYANTHI NAGAR,2023,11,,DEATHS DUE TO RASHNESS/NEGLIGENCE,13.0237,77.6608
JAYARAM COLONY,2019,7,,MISSING PERSON,77.5542,13.0309
JAYARAM COLONY,2024,2,,CYBER CRIME,13.0341,77.5636
JAYARAM COLONY,2016,5,,CrPC,77.556,13.0378
JAYARAM COLONY,2017,3,,THEFT,17.5617,13.0128
JAYARAM COLONY,2018,8,,MOLESTATION,77.3331,13.0126
JAYARAM COLONY,2019,2,,THEFT,77.5612,13.0341
JAYARAM COLONY,2023,12,,CYBER CRIME,13.0337,77.5581
JB Nagar Bustop to SD Road,2019,5,,THEFT,12.9676,77.6438
JC NAGAR MAIN ROAD,2016,12,,CHEATING,13.0058,77.5989
JC NAGAR MAIN ROAD,2024,3,,THEFT,13.0076,77.6001
JC Nagar,2023,11,,CHEATING,12.9884,77.5374
JIGALA,2022,10,,THEFT,12.7898,77.7517
JIGALA,2022,9,,CRIMINAL TRESPASS,12.7904,77.7534
JIGALA,2020,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7856,77.7511
JIGALA,2022,2,,MISSING PERSON,12.7797,77.772
JIGANI,2021,4,,CRIMES RELATED TO WOMEN,12.7863,77.6367
JIGANI,2023,12,,THEFT,12.7826,77.6416
JIGANI,2021,4,,MISSING PERSON,12.7855,77.6403
JIGANI,2023,11,,THEFT,12.7846,77.6504
JIGANI,2023,2,,MOLESTATION,12.7788,77.6435
JIGANI,2021,6,,DACOITY,12.7832,77.6404
JNANAGANGANAGARA,2022,5,,MISSING PERSON,12.951,77.4723
JNANAGANGANAGARA,2022,12,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9364,77.4773
JONNAHALLI,2022,11,,THEFT,13.1489,77.7541
JUNNASANDRA,2023,10,,CASES OF HURT,12.9276,77.7026
JUNNASANDRA,2019,3,,THEFT,12.9121,77.6962
JUNNASANDRA,2023,2,,THEFT,12.9098,77.697
Jakkuru Jakkur layout,2023,10,,CYBER CRIME,13.0821,77.6057
Jayanagar,2019,,,2 wheeler theft,12.95154873,77.57048193
Jayanagar,2016,,,2 wheeler theft,12.95126643,77.57743932
Jayanagar,2019,,,2 wheeler theft,12.89835882,77.5613959
Jayanagar,2017,,,2 wheeler theft,12.943655,77.551579
Jayanagar,2015,,,2 wheeler theft,12.954761,77.5778354
Jayanagar,2018,,,2 wheeler theft,12.5635,77.3246
Jayanagar,2018,,,2 wheeler theft,12.944661,77.567476
Jayanagar,2016,,,2 wheeler theft,12.944121,77.566997
Jogupalya,2017,5,,BURGLARY - NIGHT,12.9764,77.6266
Jogupalya,2018,9,,THEFT,12.9745,77.6284
K B SANDRA,2020,10,,THEFT,13.0198,77.6077
K B SANDRA,2021,4,,THEFT,13.0123,77.6134
K B SANDRA,2020,3,,KIDNAPPING AND ABDUCTION,13.0198,77.606
K B SANDRA,2024,2,,THEFT,13.0086,77.5357
K G Nagar,2015,,,Ordinary Theft,12.9062115,77.5912842
K G Nagar,2017,,,2 wheeler theft,12.9271486,77.540158
K G Nagar,2018,,,2 wheeler theft,12.929584,77.561639
K S Layout,2015,,,Ordinary Theft,12.265842,77.248562
K S Layout,2017,,,2 wheeler theft,12.93125084,77.55737522
K S Layout,2019,,,Ordinary Theft,12.91945,77.58582
K S Layout,2015,,,2 wheeler theft,12.932974,77.560001
K S Layout,2016,,,4 Wheeler Theft,12.891917,77.589229
K S Layout,2019,,,2 wheeler theft,12.94102,77.548
K S Layout,2015,,,4 Wheeler Theft,12.8820672,77.5798883
K S Layout,2016,,,2 wheeler theft,12.92224021,77.55933137
K.G CIRCLE,2024,1,,CASES OF HURT,12.9758,77.5732
K.G. ROAD,2024,1,,CASES OF HURT,12.9756,77.3424
K.G.Halli Traffic Police Station,2022,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0393,77.6193
K.G.ROAD N.T ROAD,2022,10,,CASES OF HURT,12.9687,77.5876
K.G.ROAD N.T ROAD,2023,5,,FORGERY,12.9715,77.5843
K.G.ROAD N.T ROAD,2023,6,,CHEATING,12.9715,77.5843
K.G.ROAD N.T ROAD,2018,8,,CHEATING,77.6054,12.9747
K.Narayanapura,2024,2,,THEFT,13.0505,77.3823
K.R ROAD,2017,6,,THEFT,12.9457,77.5713
K.R ROAD,2018,8,,THEFT,12.946,77.5706
K.R ROAD,2018,5,,THEFT,12.9458,77.5714
K.R.PURA,2018,1,,THEFT,13.0091,77.6885
K.R.PURA,2017,5,,THEFT,13.0035,77.6984
K.R.PURA,2017,4,,CASES OF HURT,13.0079,77.6936
K.R.Road,2016,11,,NEGLIGENT ACT,12.5732,77.3406
K.R.Road,2017,2,,NEGLIGENT ACT,12.5729,77.3419
K.R.Road,2024,2,,CASES OF HURT,12.9285,77.5624
K.R.Road,2021,9,,PUBLIC SAFETY,12.9545,77.5863
K.S.Layout First Stage,2022,12,,THEFT,12.9037,77.5633
KACHAMANAHALLI MULLURU CIHICKBALANDURU,2021,2,,ANIMAL,12.9131,77.7078
KACHAMANAHALLI MULLURU CIHICKBALANDURU,2016,8,,THEFT,12.9059,77.7349
KADABAGERE,2023,8,,MOTOR VEHICLE ACCIDENTS FATAL,12.9913,77.4635
KADABAGERE,2022,4,,SCHEDULED CASTE AND THE SCHEDULED TRIBES,12.9844,77.4635
KADABAGERE,2023,10,,MISSING PERSON,12.9908,77.454
KADABAGERE,2021,9,,KIDNAPPING AND ABDUCTION,12.9957,77.4513
KADABAGERE,2019,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9852,77.4452
KADABAGERE,2022,12,,CASES OF HURT,12.9919,77.4424
KADABAGERE,2019,10,,THEFT,12.9911,77.4564
KADUGODI,2023,12,,CYBER CRIME,12.9921,77.7628
KADUGODI HOSKOTE MAIN ROAD,2023,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0249,77.7615
KAGGADASAPURA,2022,12,,CHEATING,77.6724,12.9855
KAGGADASAPURA VILLAGE,2018,5,,MOLESTATION,77.6813,12.9811
KALASIPALYA BUS STAND,2021,1,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,77.5765,12.9596
KALASIPALYA BUS STAND,2020,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9634,77.5781
KALASIPALYA BUS STAND,2023,7,,THEFT,12.9606,77.5778
KALIDASA LAYOUT,2023,8,,THEFT,12.9363,77.5634
KALIDASA NAGARA,2023,12,,CASES OF HURT,12.9322,77.5409
KALSIPALYA,2016,7,,PUBLIC SAFETY,12.9159,77.6382
KALSIPALYA,2016,8,,PUBLIC SAFETY,12.9655,77.5782
KALYANA NAGAR,2017,4,,Karnataka State Local Act,13.0496,77.5052
KAMAKSHIPALYA,2023,9,,ATTEMPT TO MURDER,12.9881,77.5304
KAMAKSHIPALYA,2022,8,,MISSING PERSON,12.9919,77.5251
KAMAKSHIPALYA,2023,8,,CASES OF HURT,12.9926,77.5043
KAMAKSHIPALYA MAIN ROAD,2023,11,,CYBER CRIME,12.9803,77.5322
KAMAKSHIPALYA MAIN ROAD,2022,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9812,77.528
KAMAKYA LAYOUT,2017,5,,CrPC,12.9321,77.5568
KAMMAGONDANAHALLI,2017,1,,MISSING PERSON,77.534,13.0559
KAMMAGONDANAHALLI,2021,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,77.5317,13.0708
KAMMAGONDANAHALLI,2022,5,,CRIMINAL INTIMIDATION,13.0646,77.5274
KAMMASANDRA,2020,2,,CASES OF HURT,12.8253,77.6745
KAMMASANDRA,2023,2,,THEFT,12.8334,77.6551
KAMMASANDRA,2020,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1538,77.7855
KAMMASANDRA,2020,10,,THEFT,12.8355,77.6879
KANAKA NAGAR,2022,5,,CRUELTY BY HUSBAND,13.0376,77.6084
KANAKAPURA MAIN ROAD,2023,10,,PUBLIC SAFETY,12.9294,77.5736
KANNAHALLI,2020,2,,MOTOR VEHICLE ACCIDENTS FATAL,13.2199,77.2994
KANNAHALLI,2023,11,,THEFT,13.2503,77.296
KANNAMANGALA,2023,8,,BURGLARY - NIGHT,13.0205,77.7623
KANNUR VILLAGE,2018,7,,CASES OF HURT,13.0926,77.6535
KANNUR VILLAGE,2023,12,,MOLESTATION,13.1094,77.6383
KANTEERAVA STUDIO,2023,7,,CYBER CRIME,13.013,77.5341
KANTEERAVA STUDIO,2017,8,,MOLESTATION,13.0192,77.537
KANTEERAVA STUDIO,2018,2,,BURGLARY - DAY,13.0158,77.5327
KANTEERAVA STUDIO,2018,8,,MISSING PERSON,13.009,77.53
KANTEERAVA STUDIO,2023,6,,CRIMES RELATED TO WOMEN,13.0191,77.5354
KAREHALLI,2022,12,,KARNATAKA POLICE ACT 1963,13.2502,77.3503
KARPURU,2022,7,,BURGLARY - NIGHT,12.7224,77.7194
KASTHURI NAGARA,2019,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0127,77.6645
KASTHURI NAGARA,2023,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.019,77.6555
KASTURI NAGAR,2024,1,,CHEATING,13.0093,77.6601
KATHALI PALYA,2023,10,,CYBER CRIME,12.9389,77.6205
KATRIGUPPE,2019,3,,THEFT,12.9262,77.5514
KATTALEPALYA,2021,6,,MISSING PERSON,13.243,77.4482
KATTALEPALYA,2022,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.213,77.4317
KAVERI NAGAR,2020,2,,BURGLARY - DAY,13.0199,77.6078
KAVERIYAPPA LAYOUT VASANTH NAGAR,2019,2,,CHEATING,12.9919,77.5964
KAVERIYAPPA LAYOUT VASANTH NAGAR,2024,3,,CASES OF HURT,12.5911,77.3551
KELAGINA JUGANAHALLI,2022,5,,BURGLARY - NIGHT,13.571,77.2904
KEMPALINGANAHALLI CROSS,2020,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0976,77.3853
KEMPALINGANAHALLI CROSS,2020,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0632,77.3466
KEMPALINGANAHALLI CROSS,2021,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0611,77.3337
KENDRIYA SADANA,2022,2,,IMMORAL TRAFFIC,12.9212,77.6168
KENGERI,2017,8,,CRIMES RELATED TO WOMEN,12.917,77.4924
KENGERI,2024,2,,CHEATING,12.9177,77.4961
KENGUNTE,2017,8,,POCSO,12.9656,77.4946
KENGUNTE,2018,4,,CRIMINAL TRESPASS,12.9665,77.4968
KG Nagar Main Road,2017,9,,KIDNAPPING AND ABDUCTION,12.9551,77.5583
KG Nagar Main Road,2017,11,,CHEATING,12.955,77.5644
KHAJIHOSAHALLI,2022,6,,Karnataka State Local Act,13.0184,77.8743
KHASBAG,2022,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2798,77.552
KHASBAG,2022,3,,Karnataka State Local Act,13.2911,77.5388
KHB COLONY,2023,11,,CHEATING,12.9354,77.6152
KHB COLONY,2021,7,,CHEATING,12.9352,77.6158
KILARI ROAD,2023,12,,MISSING PERSON,12.9713,77.58
KIRLOSKAR COLONY,2018,4,,CrPC,12.9957,77.5462
KODANDARAMA PURA,2017,6,,THEFT,13.0029,77.5746
KODANDARAMA PURA,2017,9,,CRIMES RELATED TO WOMEN,13.0031,77.576
KODATI SULIKUNTE AMBEDKAR NAGARA,2017,12,,THEFT,12.8889,77.7285
KODATI SULIKUNTE AMBEDKAR NAGARA,2019,10,,MISSING PERSON,12.8881,77.729
KODATI SULIKUNTE AMBEDKAR NAGARA,2018,6,,ATTEMPT TO MURDER,12.9426,77.7473
KODEGEHALLY,2021,11,,THEFT,13.007,77.7348
KODIGEHALLI,2024,2,,CYBER CRIME,13.0559,77.5647
KOMMASANDRA,2024,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.3045,77.8029
KOMMASANDRA,2020,6,,CASES OF HURT,13.2873,77.7744
KOMMASANDRA,2023,6,,MOTOR VEHICLE ACCIDENTS FATAL,13.3381,77.7713
KOMMASANDRA,2023,7,,AFFRAY,13.2941,77.804
KONANAKUNTE,2016,1,,MISSING PERSON,77.5816,12.8868
KONANAKUNTE,2024,1,,CRIMES RELATED TO WOMEN,12.9802,77.541
KONANAKUNTE,2019,3,,ATTEMPT TO MURDER,12.9044,77.5284
KONANAKUNTE CROSS,2022,10,,THEFT,12.8839,77.5508
KONANAKUNTE VILLAGE,2022,1,,THEFT,12.8807,77.5576
KONNASANDRA,2023,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.7522,77.6118
KOOLI NAGARA,2022,5,,MOLESTATION,13.0202,77.5299
KOOLI NAGARA,2021,5,,KIDNAPPING AND ABDUCTION,13.0155,77.5329
KOOLI NAGARA,2023,8,,CYBER CRIME,13.017,77.5369
KOOLI NAGARA,2019,3,,ATTEMPT TO MURDER,13.0134,77.5283
KOPPA GATE,2020,2,,CRIMINAL TRESPASS,12.7602,77.6642
KOPPA GATE,2021,2,,CHEATING,12.8024,77.6562
KORAMANGALA,2020,3,,ROBBERY,12.9365,77.614
KORAMANGALA,2023,9,,MOTOR VEHICLE ACCIDENTS FATAL,12.9291,77.6166
KORAMANGALA EIGHTH BLOCK,2021,3,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9425,77.6144
KOTHANURA VILLAGE,2023,6,,THEFT,12.8741,77.5792
KOTTANOORU DINNE,2016,5,,THEFT,12.5246,77.3594
KOTTHANOOR VILLAGE,2022,4,,BURGLARY - NIGHT,12.881,77.5843
KOTTIGEPALYA,2022,6,,CHEATING,12.9777,77.5172
KOTTIGEPALYA,2022,7,,CRIMES RELATED TO WOMEN,12.9833,77.5137
KPWD NAL Quarters JB Nagar,2018,7,,THEFT,12.9604,77.6435
KPWD NAL Quarters JB Nagar,2017,7,,MOLESTATION,12.9431,77.6549
KPWD NAL Quarters JB Nagar,2019,1,,CRIMINAL INTIMIDATION,12.9572,77.644
KRISHNAIAHNA PALYA,2021,12,,MISSING PERSON,77.6516,12.9922
KRISHNANANDA NAGARA,2018,3,,CHILDREN ACT,13.0141,77.5423
KRISHNANANDA NAGARA,2016,5,,MISSING PERSON,13.0141,77.5423
KRISHNANANDA NAGARA,2019,12,,POCSO,13.0141,77.5423
KRISHNANDA NAGAR,2017,7,,IMMORAL TRAFFIC,12.972,77.5102
KSRTC AND BMTC SEVICE ROAD,2022,2,,THEFT,77.58,12.9735
KUCHAPPANAPETE,2020,5,,CYBER CRIME,13.2927,77.5387
KUCHAPPANAPETE,2020,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2718,77.5505
KUDLU VILLAGE,2021,10,,KIDNAPPING AND ABDUCTION,12.8883,77.6558
KUMARA PARK WEST,2023,8,,CRIMINAL INTIMIDATION,12.9936,77.5798
KUMBARPET SP ROAD,2020,12,,COPY RIGHT ACT 1957,12.9637,77.5841
KUMBARPET SP ROAD,2020,12,,CrPC,12.966,77.5792
KUNDALAHALLI COLONY,2024,1,,THEFT,12.9968,77.693
KURUBARAHALLI,2023,11,,MOTOR VEHICLE ACCIDENTS FATAL,13.3034,77.5125
KUVEMPUNAGAR,2019,1,,Failure to appear to Court,77.5398,13.0722
Kadirenahalli,2018,1,,AFFRAY,13.0279,77.6322
Kaikondralli,2023,6,,THEFT,12.9163,77.6747
Kannamangala palya gate,2018,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2199,77.6714
Kannamangala palya gate,2022,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2015,77.6582
Kannamangala palya gate,2022,6,,MOTOR VEHICLE ACCIDENTS FATAL,13.2015,77.6582
Kasturi Ba Nagar,2019,6,,RIOTS,12.9534,77.5513
Kasturi Ba Nagar,2023,9,,CRUELTY BY HUSBAND,12.936,77.4794
Kasturi Ba Nagar,2022,11,,MOLESTATION,12.9533,77.5512
Kattigenahalli kere,2024,1,,MISSING PERSON,13.0787,77.6047
Kaveri Nagar,2023,7,,ATTEMPT TO MURDER,12.9948,77.8384
Kempapura,2017,6,,THEFT,12.5652,77.4232
Kempegowda Park,2023,8,,CRIMES RELATED TO WOMEN,77.5383,12.9886
Kere Angala,2022,11,,BURGLARY - NIGHT,12.9817,77.5088
Kere Angala,2019,5,,ATTEMPT TO MURDER,12.9935,77.5467
Kitaganuru,2022,7,,CHEATING,13.0382,77.6943
Kitaganuru,2022,5,,MISSING PERSON,13.0388,77.7066
Kitaganuru,2022,9,,CRUELTY BY HUSBAND,13.0374,77.692
Kodigehalli Village,2023,12,,THEFT,13.0586,77.583
Kodihalli,2018,4,,THEFT,12.969,77.6523
Kodihalli,2018,12,,MISSING PERSON,12.9665,77.6502
Konanakunte,2016,,,Ordinary Theft,12.90862205,77.55531561
Konanakunte,2019,,,Ordinary Theft,12.92666,77.54795
Konanakunte,2016,,,Ordinary Theft,12.938784,77.593298
Konanakunte,2017,,,Ordinary Theft,12.91667162,77.57345539
Konappana agrahara,2020,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8651,77.6574
Konappana agrahara,2017,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.849,77.6697
Koppa gate.,2022,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8097,77.5916
Koppa gate.,2020,7,,MOLESTATION,12.8279,77.5972
Koppa gate.,2020,11,,MISSING PERSON,12.8431,77.5986
Koppa gate.,2019,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8094,77.5958
Kumaraswamy Layout First stage,2021,10,,THEFT,12.9078,77.5705
L R BANDE,2018,6,,ATTEMPT TO MURDER,13.028,77.6121
L R BANDE,2016,10,,BURGLARY - DAY,13.0289,77.6107
L R BANDE,2021,3,,MOLESTATION,13.028,77.6121
L.N. COLONY,2019,9,,CHEATING,77.5579,13.0188
L.N. COLONY,2021,10,,CRIMINAL TRESPASS,77.5576,13.0331
L.N. COLONY,2018,11,,MISSING PERSON,77.5606,13.0309
L.N. COLONY,2017,12,,CYBER CRIME,77.558,13.0215
L.N. COLONY,2018,8,,THEFT,77.5636,13.0316
L.N. COLONY,2020,11,,CASES OF HURT,77.5598,13.0316
LAGGERE BRIDGE,2023,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0022,77.3155
LAKKAPPANAHALLI,2022,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.212,77.3124
LAKKASANDRA EXTENSION,2016,10,,THEFT,12.9475,77.6019
LAKKASANDRA EXTENSION,2018,3,,CrPC,12.9471,77.6008
LAKKENAHALLI,2022,1,,MISSING PERSON,13.0676,77.4578
LALBHAG FOURTH CROSS,2022,3,,KARNATAKA POLICE ACT 1963,12.9568,77.5924
LAVAKUSHAPARK,2016,11,,NEGLIGENT ACT,77.5539,12.4089
LEFT SIDE FROM KARNATAKA BANK TO BHAIRAVA BAR,2016,11,,CRIMINAL INTIMIDATION,12.9177,77.4801
LEFT SIDE FROM KARNATAKA BANK TO BHAIRAVA BAR,2023,11,,THEFT,12.0412,77.291
LIC COLONY,2017,8,,DACOITY,12.9977,77.5396
LIC COLONY,2023,10,,CASES OF HURT,12.9935,77.5456
LOWRY SCHOOL,2020,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9727,77.7008
Lakkuru,2023,11,,THEFT,13.1353,77.162
Lakshmipura,2019,11,,KIDNAPPING AND ABDUCTION,12.9489,77.5581
Lingarajpura,2023,11,,MURDER,13.0197,77.6401
M G ROAD,2020,8,,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,12.9727,77.6205
M.C Layout First Main Road To Sixth Main Road,2023,9,,DEATHS DUE TO RASHNESS/NEGLIGENCE,12.9755,77.5463
M.C Layout Seventh Main Road To Ninteenth Main Road,2023,12,,THEFT,12.9744,77.5455
M.C. LAY OUT,2016,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,0.129812,0.775349
M.C. LAY OUT,2016,11,,NEGLIGENT ACT,0.129807,0.775367
M.C.E.C.H.S.LAYOUT RIGHT SIDE,2021,1,,CRIMINAL TRESPASS,13.0713,77.6293
M.C.E.C.H.S.LAYOUT RIGHT SIDE,2019,3,,THEFT,13.0979,77.6275
M.C.E.C.H.S.LAYOUT RIGHT SIDE,2022,5,,BURGLARY - NIGHT,13.0537,77.6315
M.C.LAYOUT,2016,3,,BURGLARY - DAY,12.9772,77.5359
M.C.LAYOUT,2016,3,,CYBER CRIME,12.9717,77.5373
M.G Road,2017,5,,INSULTING MODESTY OF WOMEN (EVE TEASING),77.6042,12.9753
M.G Road,2023,12,,Karnataka State Local Act,12.9767,77.6018
M.G Road,2024,2,,CHEATING,12.9761,77.6032
M.G.ROAD,2018,5,,CHEATING,77.5994,12.9648
M.N.K ROAD,2017,5,,CRIMINAL INTIMIDATION,12.9392,77.5792
M.N.K ROAD,2016,4,,THEFT,77.577,12.9426
M.N.K ROAD,2020,2,,CHEATING,12.9379,77.5655
M.S.Palya,2016,5,,MISSING PERSON,13.0734,77.5371
M.S.Palya,2022,6,,ROBBERY,13.0859,77.5558
M.S.Palya,2018,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0807,7.53634
M.S.Palya,2017,11,,Karnataka State Local Act,13.0861,77.5572
M.S.Palya,2024,2,,BURGLARY - NIGHT,13.0923,77.5445
MADANAYAKANAHALLI,2021,5,,THEFT,13.0617,77.4684
MADANAYAKANAHALLI,2021,7,,AFFRAY,13.0721,77.4666
MADANAYAKANAHALLI,2023,11,,CASES OF HURT,13.0664,77.4629
MADANAYAKANAHALLI,2021,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0534,77.4564
MADANAYAKANAHALLI,2019,9,,MISSING PERSON,13.0628,77.4647
MADAPATNA,2020,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7728,77.6479
MADDAIAH STREET,2019,10,,KIDNAPPING AND ABDUCTION,13.2423,77.7067
MADHURANAGARA,2022,8,,MISSING PERSON,12.9462,77.7536
MADHURANAGARA,2024,3,,IMMORAL TRAFFIC,12.5856,77.528
MADIVALA,2017,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9135,77.625
MADIVALA,2017,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.913,77.6253
MAGADI MAIN ROAD,2023,2,,ROBBERY,12.9843,77.5344
MAHADEVAPURA,2024,1,,THEFT,12.9968,77.693
MAHALAXMI LAYOUT,2017,8,,MOTOR VEHICLE ACCIDENTS FATAL,1.29849,7.75542
MALAGALA VILLAGE,2022,7,,THEFT,12.9518,77.4987
MALAGALA VILLAGE,2022,7,,THEFT,12.9578,77.4968
MALLAPURA,2020,6,,CASES OF HURT,13.069,77.3666
MALLAPURA,2023,4,,CRIMINAL INTIMIDATION,13.078,77.3667
MALLATHA HALLI,2023,10,,THEFT,13.3611,77.604
MALLESH PALYA,2018,9,,BURGLARY - DAY,77.6748,12.977
MALLESHWARA,2017,1,,CrPC,12.5263,77.3405
MALLESHWARA,2016,9,,THEFT,12.5263,77.3414
MALLESHWARA,2016,10,,PUBLIC SAFETY,12.9993,77.5693
MALLESHWARAM,2024,3,,PUBLIC SAFETY,12.9957,77.5716
MALLESHWARAM EIGHT MAIN,2016,5,,THEFT,77.5576,13.0335
MALLESHWARAM EIGHT MAIN,2016,5,,CASES OF HURT,77.5554,13.0196
MALLESHWARAM EIGHT MAIN,2019,9,,MISSING PERSON,77.5545,13.0274
MALLESHWARAM EIGHT MAIN,2016,12,,CrPC,77.5409,13.0291
MALLESHWARAM EIGHT MAIN,2016,1,,POCSO,77.5452,13.0267
MALLESHWARAM EIGHT MAIN,2016,8,,CHEATING,13.0284,77.5558
MALLESHWARAM EIGHT MAIN,2018,3,,CRUELTY BY HUSBAND,77.5568,13.0225
MANGAMMANAPALYA,2021,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.8894,77.6401
MANGAMMANAPALYA,2022,11,,CRUELTY BY HUSBAND,12.8868,77.6059
